date,total_mentions,avg_tone
2023-05-26,569281,-2.1336176496407724
2023-05-27,359067,-2.15634812709056
2023-05-28,351801,-2.0351516137623351
2023-05-29,471271,-1.7912821776547025
2023-05-30,606132,-2.2053869657508023
2023-05-31,657878,-2.0961449932732235
2023-06-01,647927,-1.8644690698430042
2023-06-02,595576,-1.8940764181526846
2023-06-03,375426,-2.3664412352919939
2023-06-04,346599,-2.01383506822126
2023-06-05,542566,-1.9446019024144419
2023-06-06,643550,-2.3837278409016842
2023-06-07,641728,-2.1366306428846156
2023-06-08,604812,-1.9552238823415709
2023-06-09,624801,-2.3096904811600334
2023-06-10,386965,-2.2429509071793596
2023-06-11,327032,-1.7631408892639704
2023-06-12,536117,-1.7034866989843409
2023-06-13,575212,-1.974163230656983
2023-06-14,614143,-2.1881040295483531
2023-06-15,604709,-2.1858206029840841
2023-06-16,604735,-2.0414493551125537
2023-06-17,387677,-1.8974385585594782
2023-06-18,389720,-2.1753430821037147
2023-06-19,572585,-2.0254909169892814
2023-06-20,686458,-2.0044293549119536
2023-06-21,663133,-2.0603701472921703
2023-06-22,634363,-1.6033026073848351
2023-06-23,583014,-1.9509501088249719
2023-06-24,536839,-3.0989463151801235
2023-06-25,375801,-2.3002037126751698
2023-06-26,559717,-2.2344173760839374
2023-06-27,618586,-2.3383744614399919
2023-06-28,549546,-1.9366682642683752
2023-06-29,573088,-2.0137913934988814
2023-06-30,556161,-2.2136381526930422
2023-07-01,333928,-2.07642842873078
2023-07-02,302212,-2.207151472524342
2023-07-03,499816,-2.3833180666815852
2023-07-04,491610,-2.4792324553828333
2023-07-05,564204,-2.4965210581374389
2023-07-06,580110,-2.168513840644049
2023-07-07,555187,-2.0952028929890218
2023-07-08,376183,-2.1698451274347574
2023-07-09,341311,-2.1479118927585006
2023-07-10,585015,-1.8491107878182631
2023-07-11,633722,-1.6383817507228913
2023-07-12,640535,-1.6648141656555948
2023-07-13,641421,-1.9489727363628564
2023-07-14,535042,-2.0672433525900713
2023-07-15,366270,-1.5987037045515209
2023-07-16,317162,-1.7701824048156074
2023-07-17,515702,-1.8882297715788927
2023-07-18,609200,-2.0543892388741964
2023-07-19,676310,-2.2413382039595002
2023-07-20,637587,-2.1365726487000383
2023-07-21,542025,-2.2975307254628263
2023-07-22,337816,-2.5694463870631195
2023-07-23,286082,-2.1150973712923196
2023-07-24,495430,-2.1353493418831846
2023-07-25,540066,-2.0479317349465318
2023-07-26,557498,-2.2730190516719633
2023-07-27,568134,-2.1028629440394959
2023-07-28,530224,-1.976407866719559
2023-07-29,328052,-1.9360563029297004
2023-07-30,319223,-2.2868507356278642
2023-07-31,493830,-2.48546520773878
2023-08-01,526876,-2.4678784186579259
2023-08-02,570918,-2.7217205778119382
2023-08-03,549113,-2.6156006410809383
2023-08-04,547418,-2.7127744221992112
2023-08-05,337023,-2.2781620872760633
2023-08-06,304668,-2.5889780268127445
2023-08-07,466569,-2.3261289843071919
2023-08-08,495392,-2.2745534716190714
2023-08-09,521690,-2.2737369979192641
2023-08-10,544605,-2.6452688796429471
2023-08-11,525337,-2.5738662929236189
2023-08-12,328309,-2.4049042183809481
2023-08-13,288829,-2.1976789407716835
2023-08-14,466365,-2.298911923319408
2023-08-15,532681,-2.7400904391619711
2023-08-16,531373,-2.4725021514044005
2023-08-17,506958,-2.1384769892731548
2023-08-18,527864,-2.5070320579929244
2023-08-19,346577,-2.4142719192585895
2023-08-20,294445,-2.1730714406820453
